mag,ra,dec
8.13,0.167393,-63.29677
7.51,0.167553,46.390314
9.08,0.167559,-77.480424
7.1,0.167591,-8.974153
7.88,0.167895,-79.001848
9.4,0.167948,86.023058
9.06,0.167993,33.539441
8.38,0.168128,84.151992
10.65,0.168127,38.414928
7.77,0.168192,25.197908
8.5,0.168522,50.806826
8.61,0.168534,47.306836
10.05,0.168541,-28.337793
8.71,0.168684,39.648891
9.37,0.168857,-15.177119
6.97,0.168888,-78.300717
8.56,0.169259,-49.143374
9.34,0.169487,-33.281048
9.47,0.169558,-19.983579
8.11,0.16958,64.646715
8.91,0.170285,25.526753
7.83,0.170584,60.026047
8.95,0.171197,50.884898
7.2,0.171239,52.255137
9.37,0.171641,-70.836895
5.84,0.171908,-5.248588
5.01,0.172012,46.072272
9.81,0.17238,-22.769172
9.27,0.172452,18.650378
9.5,0.172592,-48.143583
9.32,0.172999,-43.522923
8.92,0.173076,-13.983955
8.38,0.173069,-11.785853
7.74,0.173373,58.48948
8.6,0.173593,-6.03972
9.49,0.173797,-30.479083
8.35,0.173979,-14.452334
7.11,0.1741,28.652881
9.87,0.174292,-73.649427
8.98,0.174561,13.59496
7.75,0.174721,51.912346
8.24,0.174882,15.23177
6.74,0.174909,57.165494
6.83,0.175667,33.130884
7.7,0.176177,52.316709
6.7,0.176293,59.673407
8.67,0.176851,-41.118642
9.94,0.177097,-49.281497
8.73,0.177182,-63.634331
9.63,0.177257,16.844023
6.66,0.177328,-73.224389
8.29,0.177431,56.056125
8.47,0.177535,12.820231
8.16,0.177575,2.300681
8.97,0.177974,13.223001
7.51,0.177979,2.055542
8.97,0.178352,54.891493
8.55,0.178462,-54.400334
5.84,0.178565,-12.579897
7.85,0.179206,58.018308
8.68,0.179408,-38.768916
8.05,0.179539,55.342807
8.27,0.179545,58.769516
7.68,0.179568,-21.933595
9.4,0.179651,-73.507493
7.77,0.179681,37.473902
6.89,0.179692,-34.860715
7.55,0.179777,32.242575
8.27,0.179827,-57.486396
8.16,0.180038,51.177861
8.07,0.180094,49.010749
7.91,0.180135,30.685621
7.71,0.181524,-13.902804
10.16,0.181677,-31.215305
8.41,0.182227,48.110407
8.88,0.182222,-42.251602
9.64,0.18223,64.963177
7.93,0.182482,-2.074563
7.78,0.182763,-18.572934
8.9,0.182818,52.442739
8.55,0.183721,29.550458
9.15,0.184351,13.750385
10.86,0.184614,-5.78397
11.55,0.184619,5.20883
9.08,0.184584,-10.877867
7.44,0.184902,4.133093
10.35,0.185251,26.337961
6.68,0.18552,57.587941
8.85,0.185783,-87.414226
8.9,0.185841,-7.376272
8.24,0.185928,49.546654
6.74,0.186013,-3.321389
10.75,0.187307,6.180449
8.44,0.187433,10.636043
7.69,0.187687,7.948144
4.89,0.187739,-15.467977
11.8,0.188231,-20.725211
8.88,0.188197,-29.640517
7.7,0.188291,-40.372691
8.6,0.188343,-32.800438
8.44,0.188775,-32.403882
9.5,0.189173,58.349916
9.03,0.18938,50.843077
7.15,0.189464,74.484543
7.95,0.189561,30.449575
8.23,0.19012,23.818224
9.81,0.190127,-8.359062
8.48,0.19148,-18.706899
9.33,0.191505,35.931082
8.97,0.191899,-49.629299
8.08,0.191944,-1.123352
7.47,0.19198,40.398952
8.34,0.19207,-55.749678
7.75,0.192097,-34.460093
8.34,0.192482,-58.909841
5.41,0.192894,-27.799737
7.56,0.193114,-3.078025
6.93,0.193145,-18.600657
10.03,0.193215,7.12149
8.69,0.193232,33.680297
9.04,0.193257,-57.472549
8.32,0.193247,-5.068164
7.85,0.193449,-23.63236
7.21,0.193534,-80.173734
8.98,0.193558,-17.968919
7.09,0.193652,58.211829
8.85,0.193687,-72.275491
9.21,0.193737,63.443136
8.61,0.193737,10.328334
7.91,0.193911,-49.656027
7.47,0.194149,55.961461
8.65,0.194392,28.225166
8.53,0.194673,-9.7028
9.92,0.194867,-39.229949
8.09,0.194953,54.335498
5.24,0.195552,-35.133119
7.06,0.195762,57.27152
8.45,0.19605,27.51019
8.73,0.196424,-33.234119
7.45,0.196536,9.139962
